CME_Number,Detected_Start,Detected_End,Avg_Score,Strength
14,2025-07-03 11:07:05.977,2025-07-03 11:49:36.000,1495707.78,Strong
14,2025-07-03 12:00:21.006,2025-07-03 12:09:11.010,599409.79,Strong
14,2025-07-03 12:27:06.020,2025-07-03 12:31:11.022,10.84,Weak
14,2025-07-03 12:46:46.031,2025-07-03 12:50:46.033,1206061.16,Strong
14,2025-07-03 13:09:06.043,2025-07-03 13:09:06.043,10.84,Weak
14,2025-07-03 13:39:06.060,2025-07-03 14:01:01.072,10.84,Weak
14,2025-07-03 14:13:26.078,2025-07-03 14:13:26.078,10.84,Weak
14,2025-07-03 14:36:41.091,2025-07-03 14:38:31.092,10.84,Weak
14,2025-07-03 15:19:46.115,2025-07-03 15:24:06.117,812140.91,Strong
14,2025-07-03 15:36:31.124,2025-07-03 15:38:11.125,849231.83,Strong
14,2025-07-03 15:59:31.136,2025-07-03 16:09:01.142,1055037.75,Strong
14,2025-07-03 16:19:11.147,2025-07-03 16:58:21.168,1731488.48,Strong
14,2025-07-03 17:35:41.188,2025-07-03 17:46:46.193,10.84,Weak
14,2025-07-03 18:06:36.204,2025-07-03 18:06:36.204,10.84,Weak
14,2025-07-03 18:18:06.210,2025-07-03 18:37:06.220,10.84,Weak
14,2025-07-03 18:54:51.229,2025-07-03 18:54:51.229,10.84,Weak
14,2025-07-03 19:06:56.236,2025-07-03 19:10:06.237,10.84,Weak
14,2025-07-03 19:53:56.260,2025-07-03 20:08:11.267,10.84,Weak
14,2025-07-03 20:21:26.274,2025-07-03 21:07:36.298,10.84,Weak
14,2025-07-03 21:20:26.305,2025-07-03 21:20:26.305,10.84,Weak
14,2025-07-03 22:03:21.328,2025-07-03 22:12:46.332,10.84,Weak
14,2025-07-03 22:29:41.341,2025-07-03 22:55:31.355,10.84,Weak
14,2025-07-03 23:06:06.360,2025-07-03 23:34:16.375,13.15,Weak
14,2025-07-03 23:45:46.381,2025-07-03 23:56:16.387,10.84,Weak
14,2025-07-04 00:06:31.392,2025-07-04 00:24:26.401,12.29,Weak
14,2025-07-04 00:54:06.417,2025-07-04 02:31:31.468,13.88,Weak
14,2025-07-04 03:21:26.495,2025-07-04 03:21:26.495,10.84,Weak
14,2025-07-04 03:41:36.505,2025-07-04 04:03:51.517,10.84,Weak
14,2025-07-04 04:29:51.531,2025-07-04 04:33:46.533,10.84,Weak
14,2025-07-04 04:54:31.544,2025-07-04 04:58:36.546,10.84,Weak
14,2025-07-04 06:12:11.585,2025-07-04 06:12:11.585,10.84,Weak
14,2025-07-04 06:29:26.594,2025-07-04 06:35:31.598,10.84,Weak
14,2025-07-04 07:37:21.631,2025-07-04 07:37:21.631,10.84,Weak
14,2025-07-04 07:52:11.640,2025-07-04 07:52:11.640,10.84,Weak
14,2025-07-04 08:06:06.647,2025-07-04 08:10:31.650,10.84,Weak
14,2025-07-04 08:40:41.667,2025-07-04 08:46:51.670,10.84,Weak
14,2025-07-04 09:03:31.679,2025-07-04 09:07:31.681,10.84,Weak
14,2025-07-04 09:20:36.689,2025-07-04 09:49:26.705,10.84,Weak
14,2025-07-04 10:12:01.718,2025-07-04 10:12:01.718,10.84,Weak
14,2025-07-04 10:36:56.732,2025-07-04 11:06:01.748,10.84,Weak
14,2025-07-04 11:16:41.754,2025-07-04 11:20:46.756,10.84,Weak
14,2025-07-04 11:30:51.762,2025-07-04 11:30:51.762,10.84,Weak
14,2025-07-04 11:45:51.770,2025-07-04 11:48:31.772,10.84,Weak
14,2025-07-04 12:19:31.790,2025-07-04 12:19:31.790,10.84,Weak
14,2025-07-04 12:31:36.796,2025-07-04 12:39:11.801,11.88,Weak
14,2025-07-04 13:16:56.822,2025-07-04 13:40:26.836,13.91,Weak
14,2025-07-04 13:59:36.847,2025-07-04 13:59:36.847,10.84,Weak
14,2025-07-04 14:17:26.857,2025-07-04 14:17:26.857,10.84,Weak
14,2025-07-04 14:28:11.863,2025-07-04 14:41:56.871,10.84,Weak
14,2025-07-04 14:56:36.879,2025-07-04 14:59:06.881,10.84,Weak
14,2025-07-04 15:18:11.891,2025-07-04 15:26:41.896,10.84,Weak
14,2025-07-04 15:48:26.908,2025-07-04 16:03:51.917,10.84,Weak
14,2025-07-04 16:16:46.924,2025-07-04 16:16:46.924,10.84,Weak
14,2025-07-04 16:45:56.940,2025-07-04 16:50:56.943,10.84,Weak
14,2025-07-04 17:02:26.949,2025-07-04 17:27:51.963,2368710.41,Strong
14,2025-07-04 17:43:11.971,2025-07-04 18:45:17.004,9153051.07,Strong
14,2025-07-04 18:59:47.011,2025-07-04 18:59:47.011,10.84,Weak
14,2025-07-04 19:27:32.026,2025-07-04 19:32:37.028,10.84,Weak
14,2025-07-04 19:48:42.037,2025-07-04 20:07:57.047,732761.73,Strong
14,2025-07-04 20:20:27.053,2025-07-04 20:20:27.053,10.84,Weak
14,2025-07-04 20:32:12.059,2025-07-04 21:54:47.103,4089095.42,Strong
14,2025-07-04 22:47:17.130,2025-07-04 23:02:57.138,10.84,Weak
14,2025-07-05 00:35:32.187,2025-07-05 01:57:32.230,8064204.92,Strong
14,2025-07-05 02:08:42.236,2025-07-05 03:16:12.271,4133508.95,Strong
14,2025-07-05 03:51:52.290,2025-07-05 03:51:52.290,10.84,Weak
14,2025-07-05 04:02:17.296,2025-07-05 05:05:42.330,8952454.89,Strong
14,2025-07-05 05:16:42.335,2025-07-05 05:56:12.357,1943838.22,Strong
14,2025-07-05 06:10:37.364,2025-07-05 06:15:02.367,10.84,Weak
14,2025-07-05 06:29:22.374,2025-07-05 06:29:22.374,10.84,Weak
14,2025-07-05 06:40:02.380,2025-07-05 06:53:07.387,10.84,Weak
14,2025-07-05 07:06:12.394,2025-07-05 07:06:12.394,10.84,Weak
14,2025-07-05 08:16:57.433,2025-07-05 08:21:37.436,10.84,Weak
14,2025-07-05 09:18:12.467,2025-07-05 09:19:37.468,10.84,Weak
14,2025-07-05 09:33:27.475,2025-07-05 09:52:57.486,11.85,Weak
14,2025-07-05 10:07:17.494,2025-07-05 10:29:37.507,11.88,Weak
14,2025-07-05 10:44:57.515,2025-07-05 10:58:47.523,10.84,Weak
14,2025-07-05 11:29:32.541,2025-07-05 11:29:32.541,10.84,Weak
14,2025-07-05 11:51:12.553,2025-07-05 11:51:12.553,10.84,Weak
12,2025-07-02 00:13:50.839,2025-07-02 00:22:15.843,10.84,Weak
12,2025-07-02 00:33:00.849,2025-07-02 00:42:15.854,2690366.55,Strong
12,2025-07-02 00:59:35.863,2025-07-02 01:12:40.870,857139.03,Strong
12,2025-07-02 01:58:35.894,2025-07-02 02:08:40.899,902519.28,Strong
12,2025-07-02 02:40:55.916,2025-07-02 02:40:55.916,10.84,Weak
12,2025-07-02 03:03:40.928,2025-07-02 03:03:40.928,10.84,Weak
12,2025-07-02 03:19:30.936,2025-07-02 03:22:40.938,1544302.5,Strong
12,2025-07-02 03:36:05.945,2025-07-02 04:07:10.962,13.5,Weak
12,2025-07-02 04:26:35.972,2025-07-02 04:34:20.976,1102590.72,Strong
12,2025-07-02 04:48:25.983,2025-07-02 05:11:55.996,2462382.51,Strong
12,2025-07-02 05:34:26.008,2025-07-02 05:39:41.011,1939164.28,Strong
12,2025-07-02 06:09:21.027,2025-07-02 06:10:26.027,1120724.41,Strong
12,2025-07-02 06:32:26.039,2025-07-02 06:32:26.039,10.84,Weak
12,2025-07-02 07:05:16.057,2025-07-02 07:05:16.057,10.84,Weak
12,2025-07-02 07:59:56.087,2025-07-02 08:08:31.092,704850.34,Strong
12,2025-07-02 09:24:56.134,2025-07-02 09:24:56.134,10.84,Weak
12,2025-07-02 09:45:46.145,2025-07-02 09:45:46.145,10.84,Weak
12,2025-07-02 10:09:21.159,2025-07-02 10:09:21.159,10.84,Weak
12,2025-07-02 10:42:16.177,2025-07-02 10:47:21.180,10.84,Weak
12,2025-07-02 11:02:01.188,2025-07-02 11:08:01.192,255466.16,Strong
12,2025-07-02 11:20:21.199,2025-07-02 11:30:01.204,1887399.28,Strong
12,2025-07-02 11:40:26.210,2025-07-02 11:56:41.220,545256.57,Strong
12,2025-07-03 00:11:41.618,2025-07-03 01:11:41.649,3410783.45,Strong
12,2025-07-03 01:23:41.655,2025-07-03 02:45:06.697,1444871.83,Strong
12,2025-07-03 02:57:41.704,2025-07-03 03:05:56.708,10.84,Weak
12,2025-07-03 03:22:01.717,2025-07-03 03:30:01.721,850338.89,Strong
12,2025-07-03 03:40:11.726,2025-07-03 04:08:01.741,2816897.88,Strong
12,2025-07-03 04:27:26.751,2025-07-03 04:27:36.751,172465.82,Strong
12,2025-07-03 04:42:56.759,2025-07-03 04:57:11.767,338331.58,Strong
12,2025-07-03 05:11:26.774,2025-07-03 05:11:26.774,10.84,Weak
12,2025-07-03 07:02:15.857,2025-07-03 07:23:30.864,2470511.97,Strong
12,2025-07-03 07:38:40.870,2025-07-03 07:41:10.871,233017.12,Strong
12,2025-07-03 07:51:35.876,2025-07-03 07:51:40.876,440050.73,Strong
12,2025-07-03 08:22:40.891,2025-07-03 08:51:10.905,2565956.75,Strong
12,2025-07-03 09:09:45.915,2025-07-03 09:15:45.918,10.84,Weak
